epoch	test_accuracy
1	0.489500
2	0.557000
3	0.574200
4	0.596700
5	0.618500
6	0.637700
7	0.657600
8	0.665700
9	0.640900
10	0.669700
11	0.676400
12	0.683800
13	0.681000
14	0.674700
15	0.689100
16	0.679400
17	0.689700
18	0.695600
19	0.680100
20	0.696100
21	0.702000
22	0.705400
23	0.706900
24	0.699400
25	0.709200
26	0.702200
27	0.696000
28	0.702900
29	0.702100
30	0.700400
31	0.706900
32	0.701600
33	0.703700
34	0.702200
35	0.692900
36	0.702000
37	0.704100
38	0.701600
39	0.708400
40	0.707600
41	0.702300
42	0.702900
43	0.710800
44	0.703100
45	0.711200
46	0.709600
47	0.701900
48	0.701200
49	0.702200
50	0.706400
