epoch	train_loss
1	1.737989
2	1.406710
3	1.276966
4	1.173462
5	1.098058
6	1.032842
7	0.978107
8	0.937891
9	0.896579
10	0.860943
11	0.830613
12	0.804692
13	0.771320
14	0.752115
15	0.723543
16	0.703234
17	0.700040
18	0.669883
19	0.650285
20	0.636493
21	0.622854
22	0.609207
23	0.601727
24	0.583300
25	0.569695
26	0.553340
27	0.548493
28	0.537676
29	0.526246
30	0.521357
31	0.519972
32	0.501370
33	0.496204
34	0.488166
35	0.481341
36	0.467481
37	0.454342
38	0.459382
39	0.456765
40	0.445470
41	0.429473
42	0.441333
43	0.432486
44	0.422783
45	0.430413
46	0.414142
47	0.419994
48	0.408054
49	0.411095
50	0.397655
